Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A239SE33	unreviewed	Pandoraea sputorum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A239Y9Q0	unreviewed	Mammaliicoccus stepanovicii	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A239YBA4	unreviewed	Mammaliicoccus stepanovicii	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A239ZTD8	unreviewed	Veillonella rodentium	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A255I4V1	unreviewed	Lachnotalea glycerini	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A2X4Y2G2	unreviewed	Leminorella richardii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A365K521	unreviewed	Planococcus maitriensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A370V403	unreviewed	Escherichia marmotae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A376H998	unreviewed	Enterococcus gallinarum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A378TMP8	unreviewed	Mycolicibacterium tokaiense	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A380G4T4	unreviewed	Staphylococcus intermedius NCTC 11048	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A380G5I3	unreviewed	Staphylococcus intermedius NCTC 11048	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A380NLL1	unreviewed	Veillonella criceti	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A396S563	unreviewed	Ureibacillus yapensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A396S589	unreviewed	Ureibacillus yapensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A398B0Y5	unreviewed	Peribacillus asahii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3D8GJK7	unreviewed	Neobacillus piezotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3D8GUU7	unreviewed	Neobacillus piezotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3D8GUX9	unreviewed	Neobacillus piezotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3E3K077	unreviewed	Sellimonas intestinalis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3E4MHZ5	unreviewed	Dorea formicigenerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3M8DMW1	unreviewed	Brevibacillus nitrificans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3N9U9Z5	unreviewed	Lysinibacillus composti	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3P1VE56	unreviewed	Streptococcus minor	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3P3U3H1	unreviewed	Paenibacillus oralis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3Q9BJM7	unreviewed	Jeotgalibaca ciconiae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3Q9I5X9	unreviewed	Paenibacillus lutimineralis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3R9P3S3	unreviewed	Salibacterium salarium	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3S0W6Y1	unreviewed	Peribacillus cavernae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3S4TIY1	unreviewed	Mycolicibacterium chitae (Mycobacterium chitae)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3S5DJ80	unreviewed	Avibacterium volantium (Pasteurella volantium)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3S9A6I5	unreviewed	Paenibacillus albus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3S9XG91	unreviewed	Entomomonas moraniae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A417YDX7	unreviewed	Oceanobacillus profundus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A417YDZ3	unreviewed	Oceanobacillus profundus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A417YMQ0	unreviewed	Neobacillus notoginsengisoli	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A417YMS9	unreviewed	Neobacillus notoginsengisoli	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A418IIZ2	unreviewed	Staphylococcus shinii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A418IIZ9	unreviewed	Staphylococcus shinii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A429XSU5	unreviewed	Siminovitchia acidinfaciens	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A433HWD5	unreviewed	Peribacillus cavernae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A485BB07	unreviewed	Kluyvera cryocrescens (Kluyvera citrophila)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A4P6WJV1	unreviewed	Citrobacter arsenatis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A4R1B037	unreviewed	Cytobacillus praedii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A4R4E7I2	unreviewed	Paenibacillus albiflavus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A4R4FH49	unreviewed	Extibacter muris	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A502J2B5	unreviewed	Brevibacillus laterosporus (Bacillus laterosporus)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A502J4F7	unreviewed	Brevibacillus laterosporus (Bacillus laterosporus)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A514LJS8	unreviewed	Salicibibacter halophilus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A544SX07	unreviewed	Psychrobacillus lasiicapitis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A544T1P7	unreviewed	Psychrobacillus lasiicapitis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A544T1Q0	unreviewed	Psychrobacillus lasiicapitis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A544TLB6	unreviewed	Psychrobacillus soli	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A544TMQ7	unreviewed	Psychrobacillus soli	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A544TMQ8	unreviewed	Psychrobacillus soli	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A554A2N7	unreviewed	Alkalicoccobacillus porphyridii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A5C5E5Q5	unreviewed	Trichococcus shcherbakoviae subsp. psychrophilus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A5C5EDZ4	unreviewed	Trichococcus shcherbakoviae subsp. psychrophilus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6G1X1Z6	unreviewed	Salinibacillus xinjiangensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6G6SG35	unreviewed	Proteus vulgaris	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6G8AXC7	unreviewed	Vagococcus hydrophili	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6I2G991	unreviewed	Fundicoccus ignavus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6I2GVZ8	unreviewed	Fundicoccus ignavus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6I6EU35	unreviewed	Erwinia sorbitola	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6I7D6X1	unreviewed	Proteus columbae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6L3V999	unreviewed	Cytobacillus depressus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6L3VC76	unreviewed	Cytobacillus depressus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6L3VD92	unreviewed	Cytobacillus depressus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6L5GPB7	unreviewed	Candidatus Pseudoramibacter fermentans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6M0H3I6	unreviewed	Clostridium senegalense	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6N7UYV5	unreviewed	Suipraeoptans intestinalis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6N7XK29	unreviewed	Mogibacterium kristiansenii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A6N8CMB2	unreviewed	Terrilactibacillus tamarindi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7D5IEL9	unreviewed	Mannheimia pernigra	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7H1C095	unreviewed	Mannheimia bovis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7K0G850	unreviewed	Enorma shizhengliae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7M2RK45	unreviewed	Blautia liquoris	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7T6Z2M1	unreviewed	Salicibibacter cibarius	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7T7CF05	unreviewed	Salicibibacter cibi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7W1WNC1	unreviewed	Paenactinomyces guangxiensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7W1YFX3	unreviewed	Paenilisteria rustica	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7W1YFY1	unreviewed	Paenilisteria rustica	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7W3CNN8	unreviewed	Klebsiella grimontii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7X2T9L7	unreviewed	Pseudoramibacter porci	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7X3SIC2	unreviewed	Sporofaciens musculi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7Y9B138	unreviewed	Mogibacterium timidum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A8B4TTQ9	unreviewed	Klebsiella quasivariicola	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A926RZS3	unreviewed	Metabacillus arenae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A927GZ71	unreviewed	Paenibacillus oceani	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A934P9P6	unreviewed	Streptococcus zalophi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A938X5X6	unreviewed	Mordavella massiliensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A940PC63	unreviewed	Vagococcus allomyrinae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A944CM78	unreviewed	Mesobacillus boroniphilus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A9N8CXX9	unreviewed	Citrobacter werkmanii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A9X4AKW2	unreviewed	Terrihalobacillus insolitus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AA95S7U2	unreviewed	Neobacillus novalis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AA95SAA0	unreviewed	Neobacillus novalis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAJ1LD27	unreviewed	Paenibacillus thiaminolyticus (Bacillus thiaminolyticus)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAJ3HTH9	unreviewed	Proteus hauseri ATCC 700826	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0AAJ5UV19	unreviewed	Lysinibacillus irui	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAP2BIA1	unreviewed	Klebsiella oxytoca	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAQ0MEA6	unreviewed	Staphylococcus pseudoxylosus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAQ0MGL2	unreviewed	Staphylococcus pseudoxylosus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAW5AZX3	unreviewed	Oceanobacillus jordanicus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAW6X9J5	unreviewed	Serratia nevei	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAW9A8A7	unreviewed	Sporosarcina thermotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAW9A8X7	unreviewed	Sporosarcina thermotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0AAW9NNW5	unreviewed	Peribacillus frigoritolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABM6XFL7	unreviewed	Peribacillus butanolivorans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABR8PHM3	unreviewed	Sporosarcina gallistercoris	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABR8TEA2	unreviewed	Escherichia whittamii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABR8WDD5	unreviewed	Planococcus wigleyi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABR8YPW3	unreviewed	Clostridium faecium	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABR9XW73	unreviewed	Jeotgalicoccus nanhaiensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABR9XWC5	unreviewed	Jeotgalicoccus nanhaiensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS0LS07	unreviewed	Facklamia lactis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS0LU43	unreviewed	Serratia surfactantfaciens	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS0TLK7	unreviewed	Serratia proteamaculans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS0W3W7	unreviewed	Proteus penneri	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS0ZIY3	unreviewed	Streptococcus pacificus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS1A0P5	unreviewed	Citrobacter cronae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS2EJJ9	unreviewed	Drancourtella massiliensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS3GXR7	unreviewed	Candidatus Enterococcus ikei	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS3GYY9	unreviewed	Candidatus Enterococcus ikei	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS3HG84	unreviewed	Candidatus Enterococcus murrayae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS3HKJ7	unreviewed	Candidatus Enterococcus murrayae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS3L273	unreviewed	Staphylococcus nepalensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS3L277	unreviewed	Staphylococcus nepalensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS3LA64	unreviewed	Candidatus Enterococcus moelleringii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS6DAT3	unreviewed	Faecalicatena faecalis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS6FXA2	unreviewed	Alkaliphilus flagellatus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS6GTP3	unreviewed	Mammaliicoccus lentus (Staphylococcus lentus)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS6GXY0	unreviewed	Mammaliicoccus lentus (Staphylococcus lentus)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS6GY15	unreviewed	Mammaliicoccus lentus (Staphylococcus lentus)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS6T9Z0	unreviewed	Enterococcus alishanensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS6TA53	unreviewed	Enterococcus alishanensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS7L989	unreviewed	Sellimonas caecigallum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS8DL66	unreviewed	Bariatricus massiliensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS8J4S6	unreviewed	Serratia montpellierensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABS8YI97	unreviewed	Paenibacillus profundus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT0K8W6	unreviewed	Serratia silvae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT1B4X1	unreviewed	Citrobacter meridianamericanus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT1N881	unreviewed	Photobacterium pectinilyticum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT1WLB6	unreviewed	Granulicatella seriolae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT2DQB3	unreviewed	Lysinibacillus pinottii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT2E710	unreviewed	Scandinavium hiltneri	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT2F0F1	unreviewed	Staphylococcus americanisciuri	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT2F0P7	unreviewed	Staphylococcus americanisciuri	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT3DM36	unreviewed	Metabacillus halosaccharovorans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT4E077	unreviewed	Paenibacillus apiarius	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT4ET02	unreviewed	Lysinibacillus xylanilyticus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT4GY44	unreviewed	Paenibacillus alvei (Bacillus alvei)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT4HWY9	unreviewed	Brevibacillus halotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT4HXJ7	unreviewed	Brevibacillus halotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT5CJ04	unreviewed	Klebsiella pasteurii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT6TH78	unreviewed	Cohnella hashimotonis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT7ZLE4	unreviewed	Planococcus notacanthi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT8E1Q4	unreviewed	Fictibacillus terranigra	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT8JT37	unreviewed	Sporosarcina highlanderae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT8JT38	unreviewed	Sporosarcina highlanderae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABT9DIV6	unreviewed	Bacillus cabrialesii subsp. tritici	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU0V8X4	unreviewed	Bacillus stercoris	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU1DWX9	unreviewed	Escherichia ruysiae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU3ETI0	unreviewed	Enterococcus hulanensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU3F3N8	unreviewed	Enterococcus hulanensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU3ZDM0	unreviewed	Photobacterium rosenbergii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU4DY93	unreviewed	Atlantibacter subterraneus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU5C8A4	unreviewed	Tigheibacillus halophilus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU6ECN7	unreviewed	Proteus cibi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU6KI15	unreviewed	Virgibacillus tibetensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU7ZDR1	unreviewed	Mannheimia indoligenes	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU8EZS1	unreviewed	Psychrobacillus mangrovi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU8EZS9	unreviewed	Psychrobacillus mangrovi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABU8F104	unreviewed	Psychrobacillus mangrovi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABV1KYE7	unreviewed	Cohnella silvisoli	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABV1LD21	unreviewed	Proteus genomosp. 6	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABV1ML29	unreviewed	Lysinibacillus zambalensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABV3M8K2	unreviewed	Enterococcus entomosocium	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABV3M8L2	unreviewed	Enterococcus entomosocium	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0ABV5AI47	unreviewed	Alicyclobacillus fastidiosus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
